DateTime,Measuredupscaled
08/08/2022 16:45,"330,94"
08/08/2022 17:00,"345,15"
08/08/2022 17:15,"389,18"
08/08/2022 17:30,401
08/08/2022 17:45,"415,22"
08/08/2022 18:00,"442,3"
08/08/2022 18:15,"434,38"
08/08/2022 18:30,"445,76"
08/08/2022 18:45,"456,21"
08/08/2022 19:00,"455,93"
08/08/2022 19:15,"465,19"
08/08/2022 19:30,"463,09"
08/08/2022 19:45,"468,83"
08/08/2022 20:00,"470,45"
08/08/2022 20:15,"458,89"
08/08/2022 20:30,"460,56"
08/08/2022 20:45,"470,26"
08/08/2022 21:00,"476,88"
08/08/2022 21:15,"489,41"
08/08/2022 21:30,"515,65"
08/08/2022 21:45,"541,71"
08/08/2022 22:00,"577,41"
08/08/2022 22:15,"588,18"
08/08/2022 22:30,"604,9"
08/08/2022 22:45,"608,99"
08/08/2022 23:00,"657,83"
08/08/2022 23:15,"650,23"
08/08/2022 23:30,"659,89"
08/08/2022 23:45,"658,6"
09/08/2022 00:00,"650,19"
09/08/2022 00:15,"647,27"
09/08/2022 00:30,"628,2"
09/08/2022 00:45,"613,5"
09/08/2022 01:00,"581,76"
09/08/2022 01:15,"575,26"
09/08/2022 01:30,"573,57"
09/08/2022 01:45,"562,34"
09/08/2022 02:00,"561,42"
09/08/2022 02:15,"540,19"
09/08/2022 02:30,"530,21"
09/08/2022 02:45,"522,24"
09/08/2022 03:00,"530,26"
09/08/2022 03:15,"532,93"
09/08/2022 03:30,"529,63"
09/08/2022 03:45,"519,29"
09/08/2022 04:00,"511,38"
09/08/2022 04:15,"496,39"
09/08/2022 04:30,"496,55"
09/08/2022 04:45,"507,16"
09/08/2022 05:00,"496,26"
09/08/2022 05:15,"483,01"
09/08/2022 05:30,"473,56"
09/08/2022 05:45,"464,61"
09/08/2022 06:00,"460,51"
09/08/2022 06:15,"460,66"
09/08/2022 06:30,"460,98"
09/08/2022 06:45,"435,96"
09/08/2022 07:00,394
09/08/2022 07:15,"359,38"
09/08/2022 07:30,"325,17"
09/08/2022 07:45,"282,45"
09/08/2022 08:00,"229,98"
09/08/2022 08:15,"185,78"
09/08/2022 08:30,"142,59"
09/08/2022 08:45,"116,86"
09/08/2022 09:00,"107,1"
09/08/2022 09:15,"110,72"
09/08/2022 09:30,"112,73"
09/08/2022 09:45,"133,22"
09/08/2022 10:00,"174,94"
09/08/2022 10:15,"227,35"
09/08/2022 10:30,"272,22"
09/08/2022 10:45,"327,09"
09/08/2022 11:00,"404,54"
09/08/2022 11:15,"445,78"
09/08/2022 11:30,"484,98"
09/08/2022 11:45,"479,5"
09/08/2022 12:00,"463,66"
09/08/2022 12:15,"464,5"
09/08/2022 12:30,"451,79"
09/08/2022 12:45,"435,05"
09/08/2022 13:00,"431,47"
09/08/2022 13:15,"427,64"
